year,rank,artist,song,lyrics
1951,1,"Dominoes","Sixty Minute Man","Sixty-minute man|Lookie here girls I'm telling you now|They call me Lovin' Dan|I rock 'em, roll 'em all night long|I'm a sixty-minute man|Yeah, yeah , yeah|If you don't believe I'm all I say|Come up and take my hand|When I let you go you'll cry Oh yes|He's a sixty-minute man|There'll be 15 minutes of kissing|Then you'll holler please don't stop (don't stop)|There'll be 15 minutes of teasing|And 15 minutes of squeezing|And 15 minutes of blowing my top|If your man ain't treating you right|Come up and see ol' Dan|I rock 'em, roll 'em all night long|I'm a sixty-minute man|Sixty-minute man|They call me Lovin' Dan|I rock 'em, roll 'em all night long|I'm a sixty-minute man|You might also likeSixty-minute man|They call me Lovin' Dan|I rock 'em, roll 'em all night long|I'm a sixty-minute man|There'll be 15 minutes of kissing|Then you'll holler please don't stop (don't stop)|There'll be 15 minutes of teasing|And 15 minutes of squeezing|And 15 minutes of blowing my top|If your man ain't treating you right|Come up and see ol' Dan|I rock 'em, roll 'em all night long|I'm a sixty-minute man, oh yeah|Sixty-minute man2"
1951,2,"Jackie Brenston","Rocket 88","You women have heard of jalopies|You've heard the noise they make|But let me re-introduce my new Rocket '88|Yes, it's straight, just won't wait|Everybody likes my Rocket '88|Baby, we'll ride in style|Movin' all along|V-8 motor and this modern design|Black convertible top and the gals don't mind|Sportin' with me, ridin' all around town for joy|Blow your horn, baby, blow|Step in my Rocket and don't be late|Baby, we're pullin' out about a half-past eight|Goin' 'round the corner and get a beer|Everybody in my car is gonna take a little nip|Move on out, oozin' and cruisin' alongYou might also like1"
1951,3,"Elmore James","Dust My Broom","I'm gettin' up soon in the mornin'|I believe I'll dust my broom|I'm gettin' up soon in the mornin'|I believe I'll dust my broom|I quit the best gal I'm lovin'|Now, my friends can get my room|I'm gonna write a letter|Telephone every town I know|I'm gonna write a letter|Telephone every town I know|If I don't find her in Mississippi|She due in Westminster, I know|And I don't want no woman|Want ev'ry downtown man she meets|No, I don't want no woman|Want ev'ry downtown man she meets|Man, she's a no good doney|They shouldn't allow her on the street, yeah|I believe|I believe my time ain't long|I believe|I believe my time ain't long|I ain't gonna leave my baby|And break up my happy homeYou might also like2"
1951,4,"Johnnie Ray","Cry","Ooh-wah|Ooh-wah|Ooh-wah|If your sweetheart sends a letter of goodbye|It's no secret you'll feel better if you cry|When waking from a bad dream|Don't you sometimes think it's real?|But it's only false emotions that you feel|If your heartaches seem to hang around too long|And your blues keep getting bluer with each song|Remember sunshine can be found behind a cloudy sky|So let your hair down and go on and cry|If your heartaches seem to hang around too long|And your blues keep getting bluer with each song|Well, now, remember sunshine can be found behind a cloudy sky|So let your hair down and go right on, baby, and cry|(Go on and cry)You might also like"
1951,5,"Nat King Cole","Too Young","They try to tell us we're too young|Too young to really be in love|They say that love's a word|A word we've only heard|But can't begin to know the meaning of|And yet we're not too young to know|This love will last though years may go|And then someday they may recall|We were not too young at all|And yet we're not too young to know|This love will last though years may go|And then someday they may recall|We were not too young at allYou might also like"
1951,6,"Hank Williams","Cold Cold Heart","Yet you're afraid each thing I do is just some evil scheme|A memory from your lonesome past keeps us so far apart|Why can't I free your doubtful mind and melt your cold, cold heart?|Another love before my time made your heart sad and blue|And so my heart is paying now for things I didn't do|In anger, unkind words are said that make the teardrops start|Why can't I free your doubtful mind and melt your cold, cold heart?|You'll never know how much it hurts to see you sit and cry|You know you need and want my love, yet you're afraid to try|Why do you run and hide from life, to try it just ain't smart|Why can't I free your doubtful mind and melt your cold, cold heart?|There was a time when I believed that you belonged to me|But now I know your heart is shackled to a memory|The more I learn to care for you, the more we drift apart|Why can't I free your doubtful mind and melt your cold, cold heart?You might also like3"
1951,7,"Five Keys","Glory Of Love","And let your poor heart break a little|That's the story of, that's the glory of love|You've got to laugh a little, cry a little|Before the clouds roll by a little|That's the story of, that's the glory of love|As long as there's the two of us|We've got the world and all its charms|And when the world is through with us|We've got each other's arms|You've got to win a little, lose a little|And always have the blues a little|That's the story of, that's the glory of love|(As long as there's the two of us)|(We've got the world and all its charms)|And when the world is through with us|We've got each other's arms|You've got to win a little, lose a little|And always have the blues a little|That's the story of, that's the glory of love|You might also likeThat's the story of, that's the glory of love"
1951,8,"B.B. King","Three O'Clock Blues","And I can't even close my eyes|Three o'clock in the morning|And I can't even close my eyes|Can't find my baby|And I can't be satisfied|I've looked all around me|And my baby, she can't be found|I've looked all around me, people|And my baby, she can't be found|You know if I don't find my baby|People, I'm going down to the golden ground|Goodbye everybody|I believe this is the end|Oh, goodbye everybody|I believe this is the end|I want you to tell my baby|Tell her please, please forgive me|Forgive me for my sinsYou might also like"
1951,9,"Hank Williams","Hey Good Lookin'","Say hey, good lookin' - what ya got cookin'?|How's about cookin' somethin' up with me?|Hey, sweet baby - don't you think maybe|We can find us a brand new recipe?|I got a hot rod Ford, and a two dollar bill|And I know a spot right over the hill|There's soda pop and the dancing's free|So if you wanna have fun, come along with me|Say hey, good lookin' - what ya got cookin'?|How's about cooking somethin' up with me?|I'm free and ready, so we can go steady|How's about savin' all your time for me?|No more lookin', I know I been tookin'|Hows about keepin' steady company?|I'm gonna throw my date book over the fence|And buy me one for five or ten cents|I'll keep it till it's covered with age|Cause I'm writin' your name down on ever' page|Say hey, good lookin' - what ya got cookin'?|How's about cookin' somethin' up with me?3"
1951,10,"Les Paul & Mary Ford","How High The Moon","Somewhere there's music, how faint the tune|Somewhere there's heaven, how high the moon|There is no moon above, when love is far away too|Until it comes true, that you love me as I love you|Somewhere there's music, how near, how far|Somewhere there's heaven, it's where you are|The darkest night would shine if you would come to me soon|Until you will, how still my heart, how high the moon|Ahh|Somewhere there's music, how faint the tune|Somewhere there's heaven, how high the moon|The darkest night would shine if you would come to me soon|Until you will, how still my heart, how high the moonYou might also like"
1952,1,"Lloyd Price","Lawdy Miss Clawdy","Well now lawdy, lawdy, lawdy, Miss Clawdy|Girl, you sure look good to me|Well, please don't excite me baby|Know it can't be me|Because I gave you all my money|Girl, but you just won't treat me right|You like to ball in the mornin'|Don't come back till late at night|I'm gonna tell, tell my mama|Girl I'm gonna tell her what you doing to me|I'm gonna tell everybody|That I'm down in misery|Well lawdy, lawdy, lawdy, Miss Clawdy|Girl you sure look good to me|You just wheel and rockin' baby|Just as fine as you can be|Well so bye, bye-bye, baby|Girl, I won't be comin' no more|Bye darlin', I'm dying|Down the road I go"
1952,2,"Hank Williams","Jambalaya (On The Bayou)","Goodbye Joe me gotta go me oh my oh|Me gotta go pole the pirogue down the bayou|My Yvonne the sweetest one me oh my oh|Son of me gun we'll have big fun on the bayou|Jambalaya and a crawfish pie on a filé gumbo|'Cause tonight I'm gonna see my ma cher amio|Pick guitar, filled fruit jar and be gay-o|Son of me gun we'll have big fun on the bayou|Thibodaux Fontaineaux the place is buzzin'|Kinfolk come to see Yvonne by the dozen|Dressed in style, go hog wild, oh me oh my oh|Son of me gun we'll have big fun on the bayou|Settle down far from town get me a pirogue|And I'll catch all the fish in the bayou|Jambalaya and a crawfish pie on a filé gumbo|'Cause tonight I'm gonna see my ma cher amio|Pick guitar, filled fruit jar and be gay-o|Son of me gun we'll have big fun on the bayou|Jambalaya and a crawfish pie on a filé gumbo|'Cause tonight I'm gonna see my ma cher amio|Pick guitar, filled fruit jar and be gay-o|Son of me gun we'll have big fun on the bayou|Son of me gun we'll have big fun on the bayou|Later on, swap my mon, get me a pirogue|And I'll catch all the fish on the bayou|Swap my mon, to buy Yvonne what she need-oh|Son of a gun we'll have big fun on the bayou|Jambalaya and a crawfish pie...2"
1952,3,"Dominoes","Have Mercy Baby","Have mercy, mercy baby|I know I've done you wrong|Have mercy, mercy baby|I know I've done you wrong|Now my heart is full of sorrow|So take me back where I belong|I've been a good-for-nothin'|I've lied and cheated too|I've been a good-for-nothin'|I've lied and cheated too|But I reap it on (?) my darling|And I don't know what to do|So have mercy, mercy baby|Please don't slam that door|Have mercy, mercy baby|Please don't slam that door|Cause I know if you refuse me|I'll never be the same no more|Have mercy, mercy baby|I know I've done you wrong|Have mercy, mercy baby|I know I've done you wrong|Now my heart is full of sorrow|So take me back where I belong|(crying) Have mercy! (crying)"
1952,4,"Clovers","One Mint Julep","One early morning, as I was walking|I met a woman, we started talking|I took her home, to get a few nips|But all I had was a mint julep|One mint julep was the cause of it all|I don't remember just how I started|I only know that we should have parted|I stole a kiss, and then another|I didn't mean to take it further|One mint julep was the cause of it all|The lights were burning low, there in the parlor|When through the kitchen door, up popped her father|He said I saw you when you kissed my daughter|Gotta wed her right now, or face a slaughter!|I didn't know just what I was doing|I had to marry of face ruin|A mint julep, a mint julep|A mint julep, a mint julep|One mint julep was the cause of it all|Now, I don't want to bore you with my troubles|But from now on I'll be thinking double|I'm through with flirting and drinking whiskey|I got six extra children from a-getting frisky|A mint julep, a mint julep|A mint julep, a mint julep|One mint julep was the cause of it all"
1952,5,"Jimmy Forrest","Night Train",
1952,6,"Johnny Ace","My Song","That you would leave me here in tears|But now you're gone and hours seem like years|So, darling, I sing my song|You're leaving|Makes my heart beat low and slow|Now I'm wondering where did you go?|Please tell me what is wrong|I still love you|Won't you please come back to me?|Come back where you oughtta be|Don't stay from me|'Cause you'll always be my own|We'll be together for eternity|You told me|That you would leave me here in tears|Now you're gone and hours seem like years|So, darling, I sing my song|I still love you|Won't you please come back to me|Come back where you oughtta be|Don't stay from me|'Cause you'll always be my own|We'll be together for eternity|You might also likeYou told me|That you would leave me here in tears|Now you're gone and hours seem like years|So, darling, I sing my song"
1952,7,"Fats Domino","Goin' Home","Can't stand your evil way|Goin' home tomorrow|Can't stand your evil way|When you're around me|I'm full of misery all day|I can't go on|I can't go on this way|I can't go on|I can't go on this way|You don't want my lovin|So I'm goin away to stay|Don't try to find me|Don't even call me on the phone|Don't try to find me|Don't even call me on the phone|I'm better off without you|So don't you leave ah me aloneYou might also like"
1952,8,"King Pleasure","Moody Mood For Love","There I go, there I go|There I go, there I go|Pretty baby, you are the soul|Who snaps my control|Such a funny thing but every time you're near me|I never can behave|You give me a smile and then I'm wrapped up in your magic|There's music all around me, crazy music|Music that keeps calling me so very close to you|Turns me your slave|Come and do with me any little thing you want to|Anything, baby, just let me get next to you|Am I insane or do I really see heaven in your eyes?|Bright as stars that shine up above you in the clear blue skies|How I worry 'bout you, just can't live my life without you|Baby, come here, don't have no fear|Oh, is there a wonder why|I'm really feeling in the mood for love?|So tell me why stop to think|About this weather, my dear?|This little dream might fade away|There I go talking out of my head again|Oh baby, won't you come and put our two hearts together?|That would make me strong and brave|Ooh, when we are one, I'm not afraid, I'm not afraid|If there's a cloud up above us, go on and let it rain|I'm sure our love together will endure a hurricane|Oh, my baby, won't you please let me love you|And give me relief from this awful misery?|What is all this talk about loving me, my sweet?|I am not afraid, not anymore, not like before|Don't you understand me?|Now baby, please pull yourself together, do it soon|My soul's on fire, come on and take me|I'll be what you make me, my darling, my sweet|Oh, baby, you make me feel so good|Let me take you by the hand|Come, let us visit out there|In that new promised land|Maybe there we can find|A good place to use a loving state of mind|I'm so tired of being without|And never knowing what love's about|James Moody, you can come on in man|And you can blow now if you want to|We're through"
1952,9,"Little Walter","Juke",
1952,10,"5 Royales","Baby, Don't Do It","That you and I are through|If you leave me pretty baby|I'll have bread without no meat|I've given you all of me|You're all that I have you see|And if you leave me pretty baby|I'll have bread without no meat|You told me that you loved me|How good you made it sound|And now you're trying to tell me|You're going to put me down|But baby, don't do it|Don't do it|Don't do it|Don't do it|Don't do it|Don't do it|Don't do it|Don't do it|If you leave me pretty baby|I'll have bread without no meat|Baby I love you, I love you, I love you, love you so|Please don't say you'll leave me any more|If you leave me pretty baby|I'll have bread without no meat|You might also likePlease say that you changed, changed your mind|And stop my poor little heart from crying|If you leave me pretty baby|I'll have bread without no meat|You told me that you loved me|How good you made it sound|And now you're trying to tell me|You're going to put me down|But baby, don't do it|Don't do it|Don't do it|Don't do it|Don't do it|Don't do it|Don't do it|Don't do it|If you leave me pretty baby|I'll have bread without no meat"
1953,1,"Drifters featuring Clyde McPhatter","Money Honey","Uh ooooh|You know the landlord rang my front door bell|I let it ring for a long, long spell|I went to the window and peeked through the blind|And asked him to tell me what was on his mind|He said, Money honey (umm bop she-bop)|Yes|Money honey (umm bop she-bop)|Mmmm hmmmm|Money honey (umm bop she-bop)|If you wanna stay here with me|I was cleaned and skeenned and so hard pressed|I called the woman that I love the best|I finally got my baby 'bout a half past three|She said, I'd like to know what you want with me|I said, Money honey (umm bop she-bop)|Ahhh|Money honey (umm bop she-bop)|Mmmm hmmmm|Money honey (umm bop she-bop)|If you wanna get along with me|She screamed and said, What's wrong with you?|From this day on, our romance is through|I said, Tell me, baby, face to face|A-how could another man take my place?|She said, Money honey (umm bop she-bop)|Mmmm hmmmm|Money honey (umm bop she-bop)|Ohhhhhhh|Money honey (umm bop she-bop)|If you wanna get along with me|Uh ooooh|Uh ooooh|Uh ooooh|Uh ooooh|Uh ooooh|Uh ooooh|Uh ooooh|Aaaaahhhhhhhhh!!!!|Umm bop bop|Umm bop she-bop|Umm bop bop|Umm bop she-bop|Umm bop bop|Umm bop she-bop|Ummmm|Ummmm|Ummmm|Now I've learned my lesson and now I know|The sun may shine and the winds may blow|Women may come and women may go|But before I say, I love 'em so|I want money honey (umm bop she-bop)|Woooo|Money honey (umm bop she-bop)|Ohhhh|Money honey (umm bop she-bop)|If you wanna get along with me|(If you wanna get along)|Well, make some money|(If you wanna get along)|Well, I ain't jivin' you, honey|(If you wanna get along)|You gotta give up some money|If you wanna get along with me"
1953,2,"Hank Williams","Your Cheatin' Heart","Your cheatin' heart will make you weep|You'll cry and cry and try to sleep|But sleep won't come the whole night through|Your cheatin' heart will tell on you|When tears come down like falling rain|You'll toss around and call my name|You'll walk the floor the way I do|Your cheatin' heart will tell on you|Your cheatin' heart will pine someday|And crave the love you threw away|The time will come when you'll be blue|Your cheatin' heart will tell on you|When tears come down like falling rain|You'll toss around and call my name|You'll walk the floor the way I do|Your cheatin' heart will tell on you|"
1953,3,"Orioles","Crying In The Chapel","The tears I shed were tears of joy|I know the meaning of contentment|I am happy with the Lord|Just a plain and simple chapel|Where all good people go to pray|I prayed the Lord that I'll grow stronger|As I live from day to day|I searched and I searched but I couldn't find|No way on earth to find peace of mind|Now, I'm happy in the chapel|Where people are of one accord|Yes, we gather in the chapel|Just to sing and praise the Lord|You'll search and you'll search but you'll never find|No way on earth to find peace of mind|Take your troubles to the chapel|Get down on your knees and pray|Then your burdens will be lighter|And you'll surely find a wayYou might also like"
1953,4,"Crows","Gee","Do do-do do, do-do do, do-do do-do-do|Do do-do do, do-do do, do-do do-do-do do|Love that girl|O-o-o-o-o Gee, my o-o Gee, well o-o Gee|Why I love that girl, love that girl|O-o-o-o-o please, listen to me, hear-hear-hear my plea|Why I love that girl|Hold me, Baby, squeeze me|Never let me go|I'm not takin' chances|Because I love her, I love her so-o|O-o-o Gee, yes I love her, Yes I need her|Why I love that girl, love that girl|Hold me, Baby, squeeze me|Never let me go|I'm not takin' chances|Because I love her, I love her so-o|My-my o Gee, well o Gee, my-eye o Gee|Why I love that girl, love that girl|You might also likeO-o-o-o-o please, listen to me, hear-ear my plea|Why I love that girl, love that girl|Why I love that girl"
1953,5,"Faye Adams","Shake A Hand","Just leave it to me|Don't ever be ashamed|Just give me a chance|I'll take care of everything|Your troubles I'll share|Let me know and I'll be there|I'll take care of you|Anyplace and anywhere|Shake a hand, shake a hand|Shake a hand, shake a hand|Shake a hand if you can|Be truthful to me|I'll be truthful to you|I'm in love with you so|Till I don't know what to do|So let's call it a day|I said all I have to say|Except don't forget to pray|And shake a hand every day|Shake a hand, shake a hand|Shake a hand, shake a hand|Shake a hand, shake a hand|Shake a hand if you canYou might also like"
1953,6,"Joe Turner","Honey Hush","In a Georgia cotton field|Honey hush|Come in this house, stop all that yackety yack|Come in this house, stop all that yackety yack|Come fix my supper, don't want no talkin' back|Well, you keep on jabberin', you talk about this and that|Well, you keep on jabberin', you talk about this and that|I got news for you baby, you ain't nothin' but an alley cat|Turn off the waterworks, baby, they don't move me no more|Turn off the waterworks, baby, they don't move me no more|When I leave this time, I ain't comin' back no more|Honey hush|Come in this house, stop all that yackety yack|Come in here woman, stop all that yackety yack|Don't make me noivous [nervous], 'cause I'm holdin' a baseball bat|Singin' hi-yo, hi-yo silver|Hi-yo, hi-yo silver|Hi-yo, hi-yo silver|Hi-yo, hi-yo silver|Hi-yo, hi-yo silver|Hi-yo silver away!You might also like"
1953,7,"Ruth Brown","Mama, He Treats Your Daughter Mean","Mama, he treats your daughter mean|Mama, he treats your daughter mean|Mama, he treats your daughter mean|He's the meanest man I've ever seen|Mama, he treats me badly|Makes me love him madly|Mama, he takes my money|Makes me call him honey|Mama, he can't be trusted|Makes me so disgusted|All of my friends say they don't understand|What's the matter with this man|I tell you Mama, he treats your daughter mean|Mama, he treats your daughter mean|Mama, he treats your daughter mean|He's the mean, meanest man I've ever seen|Mama, this man is lazy|Almost drives me crazy|Mama, he makes me squeeze him|Still my squeeze don't please him|Mama, my heart is aching|I believe it's breaking|Mama, I've stood through all that I can stand|What's the matter with this man?|I tell you Mama, he treats your daughter mean|Mama, he treats your daughter mean|Mama, he treats your daughter mean|He's the mean, meanest man I've ever seen"
1953,8,"Willie Mae Big Mama Thornton","Hound Dog","You ain't nothin' but a hound dog|Been snoopin' 'round my door|You ain't nothin' but a hound dog|Been snoopin' 'round my door|You can wag your tail|But I ain't gonna feed you no more|You told me you was high class|But I could see through that|Yes, you told me you was high class|But I could see through that|And daddy I know|You ain't no real cool cat|You ain't nothin' but a hound dog|Been snoopin' 'round my door|You're just a old hound dog|Been snoopin' 'round my door|You can wag your tail|But I ain't gonna feed you no more|Oh, play that thing, boy!|Aw listen, isn't that them old hound dog? (Oh-woo!)|Oh, play it, it's all right up here|And listen to that old hound dog howl (Ooo-wo!)|You might also likeOh, play it boy, play it|Oh, you make me feel good|Oh, do not mess around any longer daddy|Now wag your tail|Oh, get it|Oh, get it now, get it, get it, get it|Oh, you old hound dog|You made me feel so blue|You made me weep and moan|You made me feel so blue|Yeah you made me weep and moan|Cause you ain't looking for a woman|All you're lookin' is for a home|You ain't nothin' but a hound dog|Been snoopin' 'round my door|You ain't nothin' but a hound dog|Been snoopin' 'round my door|You can wag your tail|But I ain't gonna feed you no more|Awoo!|(Bark, bark, bark, bark!)7"
1953,9,"Hank Williams","Kaw-Liga","He fell in love with an Indian maid over in the antique store|Kaw-Liga just stood there and never let it show|So she could never answer yes or no|He always wore his Sunday feathers and held a tomahawk|The maiden wore her beads and braids and hoped someday he'd talk|Kaw-Liga, too stubborn to ever show a sign|Because his heart is made of knotty pine|Poor old Kaw-Liga, he never got a kiss|Poor old Kaw-Liga, he don't know what he missed|Is it any wonder, that his face is red?|Kaw-Liga, that poor old wooden head|Kaw-Liga was a lonely Indian, never went nowhere|His heart was set on the Indian maiden with the coal black hair|Kaw-Liga just stood there and never let it show|So she could never answer yes or no|And then one day, a wealthy customer bought the Indian maid|And took her, oh, so far away but old Kaw-Liga stayed|Kaw-Liga just stands there as lonely as can be|And wishes he was still an old pine tree|Poor old Kaw-Liga, he never got a kiss|Poor old Kaw-Liga, he don't know what he missed|Is it any wonder, that his face is red?|Kaw-Liga, that poor old wooden headYou might also like2"
1953,10,"Guitar Slim","The Things That I Used To Do","The things that I used to do|Lord, I won't do no more|The things that I used to do|Lord, I won't do no more|I used to sit and hold your hand, baby|Cried begging you not to go|I would search all night for you, baby|Lord, and my search would always end in vain|I would search all night for you, baby|Lord, and my search would always end in vain|But I knew all along, darling|That you was hid out with your other man|I'm going to send you back to your mother, baby|Lord, and I'm going back to my family, too|I'm going to send you back to your mother, baby|Lord, and I'm going back to my family, too|You might also like'Cause nothing I do that please you, baby|Lord, I just can't get along with you"
1954,1,"Bill Haley & His Comets","Rock Around The Clock","One, two, three o'clock, four o'clock rock|Five, six, seven o'clock, eight o'clock rock|Nine, ten, eleven o'clock, twelve o'clock rock|We're gonna rock around the clock tonight|Put your glad rags on, join me hon'|We'll have some fun when the clock strikes one|We're gonna rock around the clock tonight|We're gonna rock, rock, rock 'til broad daylight|We're gonna rock, gonna rock around the clock tonight|When the clock strikes two, three and four|If the band slows down we'll yell for more|We're gonna rock around the clock tonight|We're gonna rock, rock, rock 'til broad daylight|We're gonna rock, gonna rock around the clock tonight|When the chimes ring five, six and seven|We'll be right in seventh heaven|We're gonna rock around the clock tonight|We're gonna rock, rock, rock 'til broad daylight|We're gonna rock, gonna rock around the clock tonight|When it's eight, nine, ten, eleven, too|I'll be goin' strong and so will you|We're gonna rock around the clock tonight|We're gonna rock, rock, rock 'til broad daylight|We're gonna rock, gonna rock around the clock tonight|When the clock strikes twelve we'll cool off then|Start rockin' around the clock again|We're gonna rock around the clock tonight|We're gonna rock, rock, rock 'til broad daylight|We're gonna rock, gonna rock around the clock tonight4"
